id,dataset,baseline_correct,mas_correct,baseline_ans,mas_ans,attempts,fallback
svamp_1,svamp,True,True,4.0,4.0,3,False
gsmplus_6300,gsm-plus:reversing operation,True,True,40.0,40.0,3,True
gsmsym_main_4969,gsm-symbolic:main,True,True,60.0,60.0,3,True
gsmsym_main_158,gsm-symbolic:main,True,True,21.0,21.0,3,True
gsmplus_4689,gsm-plus:digit expansion,True,True,80000.0,80000.0,3,True
gsm8k_627,gsm8k,True,True,54.0,54.0,3,True
gsmsym_main_4654,gsm-symbolic:main,True,True,72.0,72.0,3,True
gsmsym_main_2618,gsm-symbolic:main,True,True,743.0,743.0,3,True
gsm8k_559,gsm8k,True,True,16.0,16.0,3,True
svamp_273,svamp,True,True,2.0,2.0,3,True
gsmhard_505,gsm-hard,False,False,569668.0,569668.0,3,True
gsm8k_926,gsm8k,True,True,1.0,1.0,3,True
gsmhard_267,gsm-hard,True,True,6.0,6.0,3,True
gsmhard_1018,gsm-hard,True,True,623.0,623.0,3,True
gsmhard_1304,gsm-hard,True,True,58.0,58.0,3,True
svamp_287,svamp,True,True,6.0,6.0,3,False
gsm8k_53,gsm8k,False,False,unknown,unknown,3,False
gsmplus_1292,gsm-plus:reversing operation,True,True,2.0,2.0,3,True
svamp_53,svamp,True,True,6.0,6.0,3,True
gsmplus_9556,gsm-plus:reversing operation,True,True,10.0,10.0,3,True
